name;path;ownerName;repositoryName;htmlUrl;size;timestamp
.cursorrules;wasp-lang/open-saas/template/app/.cursorrules;wasp-lang;open-saas;https://github.com/wasp-lang/open-saas/blob/47b21486f8a2faf9cfe4b5cb544bcf710694b3a8/template/app/.cursorrules; 2.55 ;2025-01-29T16:46:53.433Z
knowledge.cursorrules;manifoldmarkets/manifold/knowledge.cursorrules;manifoldmarkets;manifold;https://github.com/manifoldmarkets/manifold/blob/9a9fde19750c1c06786f872746c63b45efdf6c8d/knowledge.cursorrules;15.54;2025-01-29T16:48:07.071Z
.cursorrules;MervinPraison/PraisonAI/.cursorrules;MervinPraison;PraisonAI;https://github.com/MervinPraison/PraisonAI/blob/31dc8dd1fafa8c85ad0731e136fd8da3d26e010f/.cursorrules;75.7;2025-01-29T16:48:07.551Z
